,H,V,D,A,R,L
H,54,1795,1237,579,626,1153
V,5425,26,2221,2995,2918,2409
D,2918,909,2967,844,814,2904
A,2418,849,536,2698,2731,721
R,2428,859,420,2794,2836,556
L,2513,1027,2718,837,751,2764
