,H,V,D,A,R,L
H,40230,220,20556,20010,19900,20761
V,150,39094,19706,18629,19649,19330
D,19970,18542,333,38011,17623,21207
A,20533,20050,39918,440,21855,18804
R,21988,18003,20475,18931,38717,483
L,18910,21054,19975,19544,401,39382
