,position
0,0.01895009328358209
1,0.018950151585820897
2,0.018949189598880596
3,0.018946449393656715
4,0.01894219333022388
5,0.01893642140858209
6,0.01892898787313433
7,0.01892000932835821
8,0.01890957322761194
9,0.018897708722014926
10,0.018884124300373135
11,0.018868790811567164
12,0.01885205806902985
13,0.018833809468283582
14,0.018814219916044775
15,0.018793318563432835
16,0.01877273787313433
17,0.018753264925373134
18,0.018736473880597015
19,0.018720586520522386
20,0.018706360774253732
21,0.018693767490671642
22,0.018682340251865673
23,0.018672807835820895
24,0.01866484958022388
25,0.018658319729477613
26,0.018653334888059703
27,0.018649953358208956
28,0.018648029384328357
29,0.01864756296641791
30,0.01864875816231343
31,0.018651527518656716
32,0.01865587103544776
33,0.018661555503731345
34,0.01866901819029851
35,0.01867793843283582
36,0.018688607742537312
37,0.018700851212686567
38,0.018714319029850747
39,0.01872939015858209
40,0.01874638526119403
41,0.018764604710820896
42,0.018784427472014927
43,0.01880576609141791
44,0.018826375932835822
45,0.01884523670708955
46,0.01886240671641791
47,0.018878060867537315
48,0.018892140858208954
49,0.018904821595149255
50,0.0189160447761194
51,0.018925635494402984
52,0.01893350629664179
53,0.01893986124067164
54,0.018944787779850748
55,0.01894805270522388
56,0.018949772621268658
57,0.018950122434701493
58,0.01895009328358209
59,0.01895009328358209
60,0.01895009328358209
61,0.01895000583022388
62,0.018951317630597014
63,0.01895420359141791
64,0.018958722014925374
65,0.018964902052238806
66,0.018971898320895523
67,0.018977582789179104
68,0.018981693097014925
69,0.018984200093283582
70,0.01898516208022388
71,0.018985191231343283
72,0.018985191231343283
73,0.018985191231343283
74,0.01898516208022388
75,0.01898603661380597
76,0.01898857276119403
77,0.01899268306902985
78,0.018998454990671643
79,0.01900548041044776
80,0.019011485541044777
81,0.019015945662313433
82,0.01901883162313433
83,0.019020230876865673
84,0.01902040578358209
85,0.01902040578358209
86,0.01902040578358209
87,0.01902040578358209
88,0.019020376632462685
89,0.019021484375
90,0.019024428638059702
91,0.019028830457089554
92,0.019034806436567166
93,0.01904180270522388
94,0.01904757462686567
95,0.0190517723880597
96,0.019054425139925373
97,0.019055474580223882
98,0.01905556203358209
99,0.01905556203358209
100,0.01905556203358209
101,0.01905556203358209
102,0.01905701958955224
103,0.019060109608208954
104,0.01906474463619403
105,0.019070953824626865
106,0.01907800839552239
107,0.019083459654850747
108,0.019087453358208956
109,0.01908984375
110,0.019090747434701492
111,0.019090776585820896
112,0.019090776585820896
113,0.019090776585820896
114,0.019090864039179103
115,0.019092613106343283
116,0.019096023787313433
117,0.019100833722014925
118,0.01910733442164179
119,0.019114184934701493
120,0.019119344682835823
121,0.019123163479477612
122,0.019125262360074627
123,0.019125903684701493
124,0.019125932835820897
125,0.019125932835820897
126,0.019125932835820897
127,0.019125932835820897
128,0.019127128031716418
129,0.019129926539179106
130,0.01913429920708955
131,0.01914021688432836
132,0.019147329757462687
133,0.019153072527985076
134,0.01915729944029851
135,0.01915998134328358
136,0.019161089085820895
137,0.0191611182369403
138,0.0191611182369403
139,0.0191611182369403
140,0.019161147388059702
141,0.019162721548507462
142,0.019165840718283582
143,0.019170475746268657
144,0.019176714085820896
145,0.01918379780783582
146,0.019189307369402987
147,0.019193097014925373
148,0.019195487406716418
149,0.0191963036380597
150,0.019196332789179104
151,0.019196332789179104
152,0.019196332789179104
153,0.01919639109141791
154,0.01919814015858209
155,0.019201492537313434
156,0.01920633162313433
157,0.019212715718283584
158,0.01921962453358209
159,0.01922490088619403
160,0.019228632229477613
161,0.01923078941231343
162,0.0192314598880597
163,0.019231489039179105
164,0.019231489039179105
165,0.019231489039179105
166,0.019231605643656717
167,0.019233325559701493
168,0.019236648787313432
169,0.019241546175373134
170,0.01924793027052239
171,0.01925480993470149
172,0.01926005713619403
173,0.019263817630597015
174,0.019265974813432837
175,0.019266674440298507
176,0.019266674440298507
177,0.019266674440298507
178,0.019266674440298507
179,0.019266674440298507
180,0.019267723880597016
181,0.01927058069029851
182,0.01927489505597015
183,0.019280783582089553
184,0.019287925606343282
185,0.019293784981343282
186,0.019297866138059703
187,0.019300606343283584
188,0.0193017723880597
189,0.019301859841417912
190,0.019301859841417912
191,0.019301859841417912
192,0.019301918143656716
193,0.01930352145522388
194,0.019306728078358208
195,0.019311363106343283
196,0.01931786380597015
197,0.019324626865671643
198,0.019330019822761193
199,0.019333926072761194
200,0.019336258162313432
201,0.01933701609141791
202,0.019337045242537314
203,0.019337045242537314
204,0.019337045242537314
205,0.019337045242537314
206,0.01933859025186567
207,0.019341767723880597
208,0.019346431902985076
209,0.019352611940298508
210,0.019359549906716417
211,0.01936503031716418
212,0.019368994869402984
213,0.019371356110074626
214,0.019372230643656715
215,0.019372230643656715
216,0.019372230643656715
217,0.019372230643656715
218,0.019372230643656715
219,0.019373163479477613
220,0.019375903684701493
221,0.019380130597014926
222,0.019385902518656715
223,0.019393015391791044
224,0.019398962220149255
225,0.0194033348880597
226,0.01940604594216418
227,0.019407270289179105
228,0.01940741604477612
229,0.01940741604477612
230,0.01940741604477612
231,0.01940741604477612
232,0.019408931902985073
233,0.019412109375
234,0.01941689015858209
235,0.01942304104477612
236,0.019430037313432836
237,0.019435517723880597
238,0.019439482276119403
239,0.01944181436567164
240,0.019442601445895522
241,0.019442630597014926
242,0.019442630597014926
243,0.019442630597014926
244,0.019442601445895522
245,0.019443621735074627
246,0.019446361940298508
247,0.01945067630597015
248,0.019456419076492537
249,0.019463444496268658
250,0.019469362173507462
251,0.019473676539179103
252,0.019476387593283583
253,0.019477670242537312
254,0.019477786847014924
255,0.019477786847014924
256,0.019477786847014924
257,0.019477786847014924
258,0.019479040345149252
259,0.019482013759328357
260,0.019486503031716416
261,0.01949239155783582
262,0.01949950443097015
263,0.019505218050373134
264,0.019509415811567163
265,0.019511951958955224
266,0.019512943097014925
267,0.01951297224813433
268,0.01951297224813433
269,0.01951297224813433
270,0.01951297224813433
271,0.019513905083955223
272,0.0195165869869403
273,0.019520784748134328
274,0.01952646921641791
275,0.019533640391791045
276,0.01953952891791045
277,0.019543989039179106
278,0.019546845848880598
279,0.01954804104477612
280,0.01954815764925373
281,0.01954815764925373
282,0.01954815764925373
283,0.01954815764925373
284,0.019549265391791044
285,0.019552122201492536
286,0.019556407416044776
287,0.01956232509328358
288,0.01956952541977612
289,0.019575180736940298
290,0.019579436800373134
291,0.019582089552238807
292,0.019583255597014924
293,0.019583372201492536
294,0.019583372201492536
295,0.019583372201492536
296,0.019583372201492536
297,0.0195849463619403
298,0.019588036380597015
299,0.0195927588619403
300,0.019598997201492538
301,0.01960596431902985
302,0.019611357276119405
303,0.019615292677238806
304,0.019617624766791044
305,0.019618499300373134
306,0.019618528451492537
307,0.019618528451492537
308,0.019618528451492537
309,0.01961855760261194
310,0.01962019006529851
311,0.019623367537313433
312,0.01962811916977612
313,0.019634386660447763
314,0.01964129547574627
315,0.019646746735074626
316,0.019650623833955223
317,0.01965292677238806
318,0.01965371385261194
319,0.019653743003731343
320,0.019653743003731343
321,0.019653743003731343
322,0.01965371385261194
323,0.01965458838619403
324,0.019657182835820894
325,0.01966143889925373
326,0.019667152518656715
327,0.019674177938432836
328,0.019680153917910448
329,0.019684497434701492
330,0.019687412546641792
331,0.01968875349813433
332,0.019688899253731344
333,0.019688899253731344
334,0.019688899253731344
335,0.01968887010261194
336,0.019689861240671642
337,0.01969257229477612
338,0.019696740904850747
339,0.019702483675373136
340,0.01970959654850746
341,0.01971551422574627
342,0.01971982859141791
343,0.01972274370335821
344,0.019723997201492538
345,0.019724084654850746
346,0.019724084654850746
347,0.019724084654850746
348,0.019724084654850746
349,0.01972519239738806
350,0.019728020055970148
351,0.019732363572761195
352,0.019738164645522388
353,0.01974530666977612
354,0.01975119519589552
355,0.01975536380597015
356,0.019758016557835822
357,0.019759211753731343
358,0.01975929920708955
359,0.01975929920708955
360,0.01975929920708955
361,0.019759270055970148
362,0.019760815065298507
363,0.019763934235074627
364,0.019768598414179106
365,0.019774778451492538
366,0.019781891324626866
367,0.019787225979477612
368,0.019791336287313433
369,0.01979366837686567
370,0.01979442630597015
371,0.019794455457089553
372,0.019794455457089553
373,0.019794455457089553
374,0.019794455457089553
375,0.019795679804104478
376,0.01979865321828358
377,0.01980314249067164
378,0.019809147621268657
379,0.019816260494402986
380,0.01982197411380597
381,0.019826026119402984
382,0.01982859141791045
383,0.01982961170708955
384,0.019829640858208954
385,0.019829640858208954
386,0.019829640858208954
387,0.019829728311567166
388,0.019831389925373134
389,0.019834742304104477
390,0.01983955223880597
391,0.01984599463619403
392,0.019852845149253732
393,0.019858150652985074
394,0.01986191114738806
395,0.019864097481343282
396,0.019864797108208956
