,position
0,-0.00023332555970149253
1,-0.0002331798041044776
2,-0.00023119752798507462
3,-0.00022723297574626865
4,-0.00022111124067164179
5,-0.00021318213619402984
6,-0.00020300839552238805
7,-0.00019073577425373134
8,-0.0001763934235074627
9,-0.00016024370335820896
10,-0.00014179104477611942
11,-0.00012144356343283582
12,-0.00010010494402985074
13,-8.083605410447761e-05
14,-6.381180037313434e-05
15,-4.8536613805970146e-05
16,-3.541861007462686e-05
17,-2.4341184701492537e-05
18,-1.545009328358209e-05
19,-8.453824626865672e-06
20,-3.498134328358209e-06
21,-7.287779850746269e-07
22,1.4575559701492537e-07
23,1.4575559701492537e-07
24,1.4575559701492537e-07
25,1.4575559701492537e-07
26,2.9151119402985076e-08
27,1.4867070895522389e-06
28,5.188899253731344e-06
29,1.0989972014925373e-05
30,1.888992537313433e-05
31,2.8684701492537312e-05
32,4.069496268656716e-05
33,5.451259328358209e-05
34,7.05165578358209e-05
35,8.835704291044776e-05
36,0.00010549790111940298
37,0.00012048157649253732
38,0.00013333722014925373
39,0.00014426888992537313
40,0.0001531599813432836
41,0.00015986473880597014
42,0.00016452891791044776
43,0.00016723997201492538
44,0.00016791044776119402
45,0.00016791044776119402
46,0.00016791044776119402
47,0.00016791044776119402
48,0.00016779384328358208
49,0.00016901819029850748
50,0.0001726620802238806
51,0.00017822994402985076
52,0.00018580923507462686
53,0.0001953125
54,0.00020703125
55,0.0002209071828358209
56,0.00023667793843283583
57,0.0002543143656716418
58,0.000271513526119403
59,0.00028675956156716417
60,0.00029979011194029853
61,0.0003109258395522388
62,0.0003199626865671642
63,0.0003269298041044776
64,0.00033188549440298505
65,0.0003348006063432836
66,0.0003356751399253731
67,0.0003356751399253731
68,0.0003356751399253731
69,0.0003356751399253731
70,0.00033579174440298505
71,0.00033806553171641793
72,0.0003424381996268657
73,0.00034876399253731344
74,0.0003571886660447761
75,0.0003677705223880597
76,0.0003801888992537313
77,0.0003947936100746269
78,0.00041143889925373135
79,0.0004293085354477612
80,0.00044577891791044776
81,0.00046020872201492537
82,0.00047253964552238805
83,0.00048268423507462685
84,0.0004909631529850747
85,0.0004970557369402985
86,0.0005011951958955224
87,0.0005032357742537313
88,0.0005034981343283582
89,0.0005034689832089552
90,0.0005034689832089552
91,0.0005034689832089552
92,0.0005035564365671642
93,0.000505801072761194
94,0.0005101154384328358
95,0.0005163829291044776
96,0.0005247201492537313
97,0.00053515625
98,0.0005476329291044776
99,0.0005620627332089552
100,0.0005786788712686567
101,0.0005969857742537313
102,0.000613193796641791
103,0.0006275944496268657
104,0.0006398087686567165
105,0.0006502448694029851
106,0.0006585820895522388
107,0.0006645580690298507
108,0.0006688141324626865
109,0.0006709130130597015
110,0.0006712336753731343
111,0.0006712336753731343
112,0.0006712336753731343
113,0.0006712336753731343
114,0.0006712045242537314
115,0.0006730993470149254
116,0.0006771222014925373
117,0.0006833896921641791
118,0.0006915520055970149
119,0.0007016382929104477
120,0.0007139109141791045
