,position,A channel counts,B channel counts,coincidence counts
0,-0.0009499999999999995,3719,3838,305.985726478
1,-0.0008708333333333346,3274,3401,279.988865126
2,-0.0007916666666666662,3373,3271,287.988966917
3,-0.0007124999999999979,3322,3368,298.988811504
4,-0.000633333333333333,3426,3388,297.988392712
5,-0.0005541666666666681,3387,3339,281.988690807
6,-0.00047499999999999973,3287,3350,252.98898855
7,-0.00039583333333333137,3403,3362,229.988559114
8,-0.0003166666666666665,3403,3228,170.989015116
9,-0.0002375000000000016,3367,3327,121.988797991
10,-0.00015833333333333324,3366,3292,74.988919128
11,-7.916666666666489e-05,3266,3410,45.98886294
12,0.0,3293,3183,48.989518381
13,7.916666666666489e-05,3354,3299,123.988935154
14,0.00015833333333333324,3270,3239,114.98940847
15,0.0002375000000000016,3409,3331,164.988644621
16,0.0003166666666666665,3338,3314,217.988937868
17,0.00039583333333333137,3393,3314,277.988755598
18,0.00047499999999999973,3338,3218,256.989258316
19,0.0005541666666666681,3437,3339,275.988523857
20,0.000633333333333333,3551,3423,290.987844927
21,0.0007124999999999979,3367,3272,283.988983176
22,0.0007916666666666662,3421,3328,307.988614912
23,0.0008708333333333346,3321,3363,279.988831477
24,0.0009499999999999995,3430,3290,283.9887153
