,position,A channel counts,B channel counts,coincidence counts
0,-0.0009499999999999925,54190,51173,3294.22693513
1,-0.0009148148148148058,54437,51754,3325.182667502
2,-0.0008796296296296226,54617,52378,3346.139270774
3,-0.0008444444444444359,56016,55336,3404.900298624
4,-0.0008092592592592526,55192,53189,3428.064392712
5,-0.0007740740740740659,54251,52636,3406.144444364
6,-0.0007388888888888827,54706,52758,3300.113820852
7,-0.000703703703703696,55045,53199,3404.071661045
8,-0.0006685185185185127,55562,52705,3427.07160479
9,-0.000633333333333326,55022,53178,3400.074040084
10,-0.0005981481481481393,54985,52920,3271.0901938
11,-0.0005629629629629561,54563,52707,3348.124147959
12,-0.0005277777777777694,55173,53076,3214.071637852
13,-0.0004925925925925861,54823,52604,3034.116090908
14,-0.00045740740740739944,54593,52598,2856.128517386
15,-0.0004222222222222162,54582,52638,2853.126912684
16,-0.0003870370370370295,54633,52675,2653.122206725
17,-0.00035185185185184625,54359,52209,2538.161970969
18,-0.00031666666666665955,54321,52640,2458.14054256
19,-0.00028148148148147284,54465,52919,2254.117766665
20,-0.0002462962962962896,54267,52048,2060.175511184
21,-0.0002111111111111029,54351,51921,1757.178041729
22,-0.00017592592592591966,53568,51819,1568.224159808
23,-0.00014074074074073295,53520,51339,1316.25233672
24,-0.00010555555555554971,53593,51622,1155.233422154
25,-7.0370370370363e-05,53371,51511,910.250806419
26,-3.518518518517977e-05,52967,51474,854.273576642
27,6.938893903907228e-18,53558,51496,858.241977232
28,3.5185185185193646e-05,53649,51682,995.227312382
29,7.037037037037688e-05,53798,51887,1128.208583174
30,0.00010555555555556359,53453,51639,1227.239740533
31,0.00014074074074074683,53623,52096,1333.206456192
32,0.00017592592592593354,53961,52101,1656.188577939
33,0.00021111111111111677,53989,52316,1789.175511476
34,0.0002462962962963035,54425,52163,2006.161028725
35,0.0002814814814814867,54312,51862,2126.183271056
36,0.0003166666666666734,54202,52397,2540.159977806
37,0.00035185185185186013,55101,52446,2721.110172954
38,0.00038703703703704337,54579,52628,2945.127616388
39,0.0004222222222222301,54993,52411,3127.117761877
40,0.0004574074074074133,55136,52857,3388.085676448
41,0.0004925925925926,54800,52682,3469.1130264
42,0.0005277777777777833,55599,53298,3590.036684498
43,0.00056296296296297,55288,52699,3490.086377688
44,0.0005981481481481532,54920,52664,3389.10769312
45,0.0006333333333333399,55225,52812,3518.0834573
46,0.0006685185185185266,55178,52591,3490.098133802
47,0.0007037037037037099,55183,52899,3540.080874483
48,0.0007388888888888966,55256,53167,3594.062204248
49,0.0007740740740740798,55216,52972,3478.075098048
50,0.0008092592592592665,55037,52940,3568.08634122
51,0.0008444444444444497,54863,52978,3567.093467986
52,0.0008796296296296365,55490,53137,3490.05142787
53,0.0009148148148148197,55140,53390,3593.0560754
54,0.0009500000000000064,55629,53274,3537.036420654
