,position,A channel counts,B channel counts,coincidence counts
0,-0.003999999999999997,51723,48777,3026.477107229
1,-0.0037142857142857116,51826,50367,3184.389679858
2,-0.003428571428571425,51510,50579,3191.39467571
3,-0.003142857142857138,52855,51382,3231.28420439
4,-0.0028571428571428532,52826,50558,3340.329223092
5,-0.0025714285714285683,52099,50703,3321.358424403
6,-0.0022857142857142833,52924,50380,3334.33368888
7,-0.001999999999999995,52642,50366,3250.348633028
8,-0.0017142857142857099,52787,50154,3206.352520802
9,-0.0014285714285714249,52498,49976,3237.376359952
10,-0.00114285714285714,52810,49981,3293.36050339
11,-0.0008571428571428549,53025,50328,3195.3313578
12,-0.0005714285714285665,52687,49463,3303.393942919
13,-0.0002857142857142815,52930,49352,3240.38779864
14,3.469446951953614e-18,52800,48965,3243.414648
15,0.00028571428571428845,52912,49321,3236.390327248
16,0.0005714285714285769,52102,48804,3187.457213992
17,0.0008571428571428619,52799,48797,3279.423567197
18,0.0011428571428571468,51995,48266,3033.49040933
19,0.0014285714285714318,51977,48602,3108.473813846
20,0.0017142857142857168,51454,48076,2988.526297496
21,0.0020000000000000018,51733,48125,3019.510349375
22,0.0022857142857142902,50476,47199,2838.617583276
23,0.002571428571428575,50457,47488,2961.603897984
24,0.00285714285714286,50365,47644,2966.60040994
25,0.0031428571428571486,50702,47339,3007.599818022
26,0.0034285714285714336,49951,46797,2889.662443053
27,0.0037142857142857186,49284,46605,2924.70311918
28,0.0040000000000000036,49887,46551,2928.677710263
