,position,A channel counts,B channel counts,coincidence counts
0,-0.0009499999999999995,16108,15946,371.9743141832
1,-0.0009148148148148127,15942,15884,351.9746777272
2,-0.0008796296296296295,15946,15738,370.9749041852
3,-0.0008444444444444428,16108,16010,385.974211092
4,-0.0008092592592592596,16240,15975,370.9740566
5,-0.0007740740740740729,16141,15967,398.9742276653
6,-0.0007388888888888896,16194,16028,343.9740442568
7,-0.0007037037037037029,16259,15972,362.9740311252
8,-0.0006685185185185197,16247,16140,378.973777342
9,-0.000633333333333333,15973,15792,342.9747754384
10,-0.0005981481481481463,16138,15955,378.974251821
11,-0.000562962962962963,15924,15813,334.9748193788
12,-0.0005277777777777763,15959,15987,328.9744863467
13,-0.0004925925925925931,16120,15902,306.974365976
14,-0.0004574074074074064,15873,15834,272.9748666918
15,-0.00042222222222222314,15656,15942,274.9750412048
16,-0.00038703703703703643,16059,15694,261.9747970054
17,-0.0003518518518518532,15926,15726,253.9749547724
18,-0.0003166666666666665,15952,15540,201.975210592
19,-0.0002814814814814798,15889,15675,190.9750939925
20,-0.00024629629629629654,15586,15304,188.9761471856
21,-0.00021111111111110983,15767,15361,128.9757803113
22,-0.0001759259259259266,15889,15632,126.9751623152
23,-0.0001407407407407399,15831,15548,93.9753859612
24,-0.00010555555555555665,15729,15412,58.9757584652
25,-7.037037037036994e-05,15718,15224,57.9760709168
26,-3.518518518518671e-05,15688,15320,50.975965984
27,0.0,15718,15628,74.9754359096
28,3.518518518518671e-05,15714,15403,79.9757957258
29,7.037037037036994e-05,15561,15374,97.9760765186
30,0.00010555555555555665,15314,15135,126.976822261
31,0.0001407407407407399,15343,15179,131.9767108603
32,0.0001759259259259266,15417,15315,177.9763888645
33,0.00021111111111110983,15591,15593,220.9756889537
34,0.00024629629629629654,15430,15178,203.976580346
35,0.0002814814814814798,15681,15475,239.9757336525
36,0.0003166666666666665,15568,15531,302.9758213392
37,0.0003518518518518532,16061,15880,311.974495132
38,0.00038703703703703643,16022,16091,346.9742189998
39,0.00042222222222222314,16231,16091,362.9738826979
40,0.0004574074074074064,16322,15751,341.9742912178
41,0.0004925925925925931,16050,15989,360.974337655
42,0.0005277777777777763,16357,16183,391.9735294669
43,0.000562962962962963,16256,15965,383.974047296
44,0.0005981481481481463,16274,15879,352.9741585154
45,0.000633333333333333,16335,16367,393.9732645055
46,0.0006685185185185197,16263,16245,356.9735807565
47,0.0007037037037037029,16268,16119,400.9737776108
48,0.0007388888888888896,17130,16766,399.971279842
49,0.0007740740740740729,16829,16502,380.9722287842
50,0.0008092592592592596,16172,15809,389.9744336852
51,0.0008444444444444428,16092,16075,347.97413211
52,0.0008796296296296295,16267,16182,344.9736767406
53,0.0009148148148148127,16087,15650,386.974823845
54,0.0009499999999999995,16096,15932,391.9743558528
