,position,A channel counts,B channel counts,coincidence counts
0,-0.0010500000000000023,85829,88741,2245.383448711
1,-0.0010022727272727301,88381,90655,2421.987820445
2,-0.0009545454545454579,89078,92501,2490.760195922
3,-0.0009068181818181857,87900,90681,2433.0291401
4,-0.00085909090909091,88260,90695,2383.9952593
5,-0.0008113636363636378,88178,91475,2393.93391745
6,-0.0007636363636363656,88138,90520,2358.02174824
7,-0.0007159090909090934,88746,90677,2450.952778958
8,-0.0006681818181818212,89035,90889,2361.907697885
9,-0.000620454545454549,88924,91400,2434.8723464
10,-0.0005727272727272734,89576,91162,2480.834072688
11,-0.0005250000000000012,88156,90856,2464.990498464
12,-0.00047727272727272896,89268,91429,2324.838316028
13,-0.00042954545454545676,88692,91296,2218.902775168
14,-0.00038181818181818455,87980,91114,1921.98379028
15,-0.00033409090909091235,88459,90896,1765.959430736
16,-0.0002863636363636367,87690,91336,1526.99074616
17,-0.00023863636363636448,88554,91558,1345.892172868
18,-0.00019090909090909228,88467,90826,1092.964896258
19,-0.00014318181818182008,88791,91162,869.905634858
20,-9.545454545454787e-05,88236,91101,691.961612164
21,-4.772727272727567e-05,88318,91667,444.904153894
22,0.0,87772,91419,192.975971532
23,4.77272727272722e-05,88130,91253,274.95787311
24,9.54545454545444e-05,88275,91343,456.936696675
25,0.0001431818181818166,88373,91354,679.926772958
26,0.0001909090909090888,88760,91844,937.84792656
27,0.000238636363636361,88488,91907,1143.867333384
28,0.0002863636363636332,88645,91458,1449.89270559
29,0.0003340909090909089,88743,92308,1583.808311156
30,0.0003818181818181811,88451,92388,1784.828189012
31,0.0004295454545454533,88996,92188,1991.795636752
32,0.0004772727272727255,89232,92400,2184.7549632
33,0.0005249999999999977,89212,92175,2426.7768839
34,0.0005727272727272699,88926,92328,2612.789640272
35,0.0006204545454545456,88935,92667,2561.758660355
36,0.0006681818181818178,88756,91654,2399.865157576
37,0.00071590909090909,88708,92191,2434.821920772
38,0.0007636363636363622,88917,91710,2490.84542193
39,0.0008113636363636344,88733,92822,2566.763625474
40,0.0008590909090909066,88977,92873,2489.736439079
41,0.0009068181818181822,88605,92448,2513.80864496
42,0.0009545454545454544,89167,92149,2497.783350117
43,0.0010022727272727266,88576,93147,2431.749411328
44,0.0010499999999999989,88825,92687,2592.767077225
