,position,A channel counts,B channel counts,coincidence counts
0,-0.0125,5184,5666,201.970627456
1,-0.012413494809688582,5165,5693,208.970595655
2,-0.012326989619377164,5160,5618,205.97101112
3,-0.012240484429065744,5175,5640,206.970813
4,-0.012153979238754326,5271,5796,243.969449284
5,-0.012067474048442908,5182,5614,207.970908252
6,-0.01198096885813149,5160,5773,215.97021132
7,-0.01189446366782007,5345,5714,219.96945867
8,-0.011807958477508651,5202,5650,194.9706087
9,-0.011721453287197233,5204,5547,192.971133412
10,-0.011634948096885814,5254,5462,196.971302652
11,-0.011548442906574394,5093,5511,168.971932477
12,-0.011461937716262976,5122,5589,226.971373142
13,-0.011375432525951558,5088,5964,217.969655168
14,-0.01128892733564014,5197,5752,201.970106856
15,-0.01120242214532872,5387,5737,223.969094781
16,-0.011115916955017301,5270,5731,220.96979763
17,-0.011029411764705883,5317,5828,220.969012524
18,-0.010942906574394465,5093,5792,235.970501344
19,-0.010856401384083045,5125,5800,211.970275
20,-0.010769896193771627,5226,5849,238.969433126
21,-0.010683391003460208,5205,5669,219.970492855
22,-0.01059688581314879,5241,5787,202.969670333
23,-0.010510380622837372,5237,5771,218.969777273
24,-0.010423875432525952,5177,5811,212.969916453
25,-0.010337370242214533,5331,5921,217.968435149
26,-0.010250865051903115,5294,5917,238.968675402
27,-0.010164359861591695,5442,6019,213.967244602
28,-0.010077854671280277,5304,6055,268.96788428
29,-0.009991349480968859,5305,6111,246.967581145
30,-0.00990484429065744,5143,6050,212.96888485
31,-0.009818339100346022,5210,5941,252.96904739
32,-0.009731833910034602,5137,6078,233.968777314
33,-0.009645328719723184,5380,5750,215.969065
34,-0.009558823529411765,5322,6050,214.9678019
35,-0.009472318339100345,5441,5902,258.967887218
36,-0.009385813148788927,5370,6087,249.96731281
37,-0.009299307958477509,5406,6053,244.967277482
38,-0.00921280276816609,5301,6365,271.966259135
39,-0.009126297577854672,5414,6117,253.966882562
40,-0.009039792387543252,5378,6062,226.967398564
41,-0.008953287197231834,5263,6144,228.967664128
42,-0.008866782006920416,5309,6104,235.967593864
43,-0.008780276816608996,5346,5971,251.968079034
44,-0.008693771626297577,5260,6079,257.96802446
45,-0.00860726643598616,5297,5977,226.968339831
46,-0.008520761245674741,5330,6019,262.96791873
47,-0.008434256055363323,5384,6197,246.966635352
48,-0.008347750865051903,5533,6206,232.965662202
49,-0.008261245674740484,5335,6234,224.96674161
50,-0.008174740484429066,5391,6318,280.965939662
51,-0.008088235294117646,5322,6323,266.966348994
52,-0.00800173010380623,5373,6453,276.965328031
53,-0.00791522491349481,5450,6327,265.96551785
54,-0.007828719723183391,5317,6325,276.966369975
55,-0.007742214532871972,5284,6269,240.966874604
56,-0.007655709342560554,5442,6232,218.966085456
57,-0.007569204152249135,5357,6224,244.966658032
58,-0.007482698961937716,5274,6408,263.966204208
59,-0.007396193771626297,5405,6362,269.96561339
60,-0.007309688581314879,5440,6527,296.96449312
61,-0.00722318339100346,5513,6565,285.963807155
62,-0.007136678200692042,5350,6509,226.96517685
63,-0.007050173010380622,5497,6358,262.965050074
64,-0.006963667820069204,5495,6451,295.964551755
65,-0.006877162629757786,5505,6539,315.964002805
66,-0.006790657439446367,5499,6512,254.964190512
67,-0.0067041522491349485,5311,6253,270.966790317
68,-0.006617647058823529,5370,6367,290.96580921
69,-0.006531141868512111,5305,6368,274.96621776
70,-0.006444636678200692,5391,6275,273.966171475
71,-0.006358131487889274,5454,6334,256.965454364
72,-0.0062716262975778545,5318,6548,264.965177736
73,-0.006185121107266436,5364,6596,304.964619056
74,-0.006098615916955017,5474,6688,284.963389888
75,-0.006012110726643599,5501,6624,296.963561376
76,-0.00592560553633218,5413,6641,275.964052267
77,-0.005839100346020761,5451,6587,294.964094263
78,-0.005752595155709342,5332,6549,265.965080732
79,-0.005666089965397924,5402,6664,287.964001072
80,-0.005579584775086505,5402,6629,268.964190142
81,-0.0054930795847750865,5480,6564,278.96402928
82,-0.005406574394463667,5347,6593,249.964747229
83,-0.005320069204152249,5441,6771,297.963158989
84,-0.00523356401384083,5391,6734,286.963697006
85,-0.005147058823529412,5584,6955,307.96116328
86,-0.0050605536332179926,5515,6754,313.96275169
87,-0.004974048442906574,5490,6942,319.96188842
88,-0.004887543252595155,5363,6818,292.963435066
89,-0.004801038062283737,5666,6684,319.962128456
90,-0.004714532871972318,5375,6542,280.96483675
91,-0.0046280276816608994,5464,6642,284.963708112
92,-0.004541522491349481,5617,6566,309.963118778
93,-0.004455017301038061,5549,6667,309.963004817
94,-0.004368512110726643,5535,6857,330.962046505
95,-0.004282006920415225,5603,6811,329.961837967
96,-0.004195501730103806,5432,6895,325.96254636
97,-0.004108996539792388,5566,6941,321.961366394
98,-0.004022491349480968,5473,6875,322.962373125
99,-0.00393598615916955,5456,6819,308.962795536
100,-0.0038494809688581315,5519,6908,331.961874748
101,-0.003762975778546713,5502,7124,313.960803752
102,-0.003676470588235293,5448,6887,287.962479624
103,-0.003589965397923875,5467,6855,318.962523715
104,-0.0035034602076124566,5478,6663,308.963500086
105,-0.0034169550173010384,5473,6988,309.961754676
106,-0.0033304498269896184,5479,6875,321.962331875
107,-0.0032439446366782,5391,7116,307.961637644
108,-0.003157439446366782,5537,6892,341.961838996
109,-0.0030709342560553635,5519,7034,301.961179354
110,-0.0029844290657439435,5526,7154,320.960466996
111,-0.0028979238754325252,5579,6987,337.961019527
112,-0.002811418685121107,5511,6966,291.961610374
113,-0.0027249134948096887,5410,7212,331.96098308
114,-0.0026384083044982687,5497,6829,331.962460987
115,-0.0025519031141868504,5471,7036,309.961506044
116,-0.002465397923875432,5419,6936,285.962413816
117,-0.002378892733564014,5428,6939,314.962335108
118,-0.002292387543252594,5514,7005,308.96137443
119,-0.0022058823529411756,5753,7113,333.959078911
120,-0.0021193771626297573,5526,7105,321.96073777
121,-0.002032871972318339,5618,7024,334.960539168
122,-0.001946366782006919,5436,7170,337.96102388
123,-0.0018598615916955007,5521,7186,317.960326094
124,-0.0017733564013840825,5638,7079,334.960088598
125,-0.0016868512110726642,5595,7091,324.960325855
126,-0.0016003460207612442,5516,7245,328.96003658
127,-0.001513840830449826,5439,7154,327.961089394
128,-0.0014273356401384076,5487,7029,312.961431877
129,-0.0013408304498269893,5419,7169,307.961151189
130,-0.001254325259515571,5544,7111,337.960576616
131,-0.001167820069204151,5403,7200,306.9610984
132,-0.0010813148788927328,5440,7116,319.96128896
133,-0.0009948096885813145,5469,7333,316.959895823
134,-0.0009083044982698962,5415,7153,297.961266505
135,-0.0008217993079584762,5480,7229,312.96038508
136,-0.000735294117647058,5355,7160,325.9616582
137,-0.0006487889273356397,5482,7275,342.96011845
138,-0.0005622837370242214,5471,7218,354.960510322
139,-0.0004757785467128014,5445,7310,308.96019705
140,-0.0003892733564013831,5441,7267,309.960460253
141,-0.00030276816608996483,5463,7151,344.960934087
142,-0.00021626297577854656,5382,7213,319.961179634
143,-0.00012975778546712655,5571,7201,344.959883229
