,position,A channel counts,B channel counts,coincidence counts
0,-0.0115,3177,3392,126.989223616
1,-0.01118918918918919,3255,3690,170.98798905
2,-0.010878378378378378,3308,3647,182.987935724
3,-0.010567567567567568,3316,3622,157.987989448
4,-0.010256756756756757,3271,3643,161.988083747
5,-0.009945945945945948,3394,3687,159.987486322
6,-0.009635135135135135,3345,3764,167.98740942
7,-0.009324324324324324,3452,3813,186.986837524
8,-0.009013513513513514,3660,3851,212.98590534
9,-0.008702702702702703,3404,3861,190.986857156
10,-0.008391891891891892,3395,3674,204.98752677
11,-0.008081081081081081,3504,3974,207.986075104
12,-0.007770270270270271,3625,3990,255.98553625
13,-0.00745945945945946,3603,3896,207.985962712
14,-0.007148648648648649,3578,3955,233.98584901
15,-0.006837837837837838,3607,3957,242.985727101
16,-0.006527027027027028,3568,4139,268.985232048
17,-0.006216216216216217,3700,4044,250.9850372
18,-0.005905405405405406,3785,4594,290.98261171
19,-0.005594594594594595,3825,4443,255.983005525
20,-0.005283783783783785,3769,4132,245.984426492
21,-0.004972972972972974,3780,4322,328.98366284
22,-0.004662162162162163,3815,4312,280.98354972
23,-0.004351351351351352,3774,4257,306.983934082
24,-0.004040540540540542,3776,4235,314.98400864
25,-0.003729729729729729,3929,4334,324.982971714
26,-0.00341891891891892,3901,4312,350.983178888
27,-0.0031081081081081076,3998,4392,331.982440784
28,-0.0027972972972972986,4037,4506,331.981809278
29,-0.002486486486486486,3959,4567,332.981919247
30,-0.002175675675675677,4008,4674,325.981266608
31,-0.0018648648648648646,4039,4558,340.981590238
32,-0.0015540540540540555,4069,4634,371.981144254
33,-0.001243243243243243,3966,4548,346.981962632
34,-0.000932432432432434,3994,4641,377.981463846
35,-0.0006216216216216215,4096,4649,378.980957696
36,-0.0003108108108108125,4137,4709,345.980518867
37,0.0,4146,4567,387.981065218
38,0.000310810810810809,4106,4734,396.980562196
39,0.0006216216216216215,4064,4804,384.980476544
40,0.0009324324324324305,4078,4741,381.980666202
41,0.001243243243243243,4027,4787,410.980722751
42,0.001554054054054052,4106,4782,427.980365108
43,0.0018648648648648646,4170,4819,401.97990477
44,0.0021756756756756736,4180,4781,411.98001542
45,0.002486486486486486,4158,4799,406.980045758
46,0.002797297297297295,4251,4987,438.978800263
47,0.0031081081081081076,4190,4820,440.9798042
48,0.00341891891891892,4208,4814,387.979742688
49,0.003729729729729729,3937,4838,379.980952794
50,0.004040540540540542,4080,4867,419.98014264
51,0.004351351351351351,4137,4893,416.979757659
52,0.004662162162162163,3955,4720,395.9813324
53,0.004972972972972972,4149,4621,389.980827471
54,0.005283783783783785,4020,4865,409.9804427
55,0.005594594594594594,4067,4808,412.980445864
56,0.005905405405405406,4032,4629,402.981335872
57,0.006216216216216215,4006,4611,361.981528334
58,0.006527027027027028,3933,4756,395.981294652
59,0.006837837837837837,3850,4646,349.9821129
60,0.007148648648648649,3899,4685,366.981733185
61,0.007459459459459458,3885,4642,342.98196583
62,0.007770270270270271,3841,4602,376.982323718
63,0.00808108108108108,3776,4445,314.98321568
64,0.008391891891891892,3826,4486,323.982836564
65,0.008702702702702705,3745,4576,272.98286288
66,0.009013513513513514,3624,4537,305.983557912
67,0.009324324324324326,3679,4426,310.983716746
68,0.009635135135135135,3808,4354,321.983419968
69,0.009945945945945948,3544,4373,278.984502088
70,0.010256756756756757,3684,4415,297.98373514
71,0.01056756756756757,3696,4243,304.984317872
72,0.010878378378378378,3609,4407,298.984095137
73,0.01118918918918919,3674,4239,289.984425914
74,0.0115,3473,4240,268.98527448
