,position,A channel counts,B channel counts,coincidence counts
0,-0.0009999999999999974,84265,85876,2091
1,-0.0009729729729729721,85789,87547,2190
2,-0.0009459459459459432,85591,87901,2344
3,-0.0009189189189189179,85476,87765,2291
4,-0.000891891891891889,85426,87212,2277
5,-0.0008648648648648637,84985,87380,2224
6,-0.0008378378378378348,86067,87792,2254
7,-0.0008108108108108095,85624,87382,2225
8,-0.0007837837837837806,85695,87597,2282
9,-0.0007567567567567553,85517,87443,2262
10,-0.0007297297297297264,85952,87254,2194
11,-0.0007027027027027011,86025,87338,2213
12,-0.0006756756756756722,85034,87671,2176
13,-0.0006486486486486469,85832,87482,2227
14,-0.000621621621621618,85904,87372,2330
15,-0.0005945945945945927,85382,87858,2286
16,-0.0005675675675675639,86501,89644,2222
17,-0.0005405405405405385,87488,90196,2338
18,-0.0005135135135135097,89350,92197,2260
19,-0.0004864864864864843,86614,88571,2245
20,-0.00045945945945945546,85742,91141,2102
21,-0.0004324324324324301,85578,86659,2109
22,-0.00040540540540540126,85983,90775,2044
23,-0.0003783783783783759,86535,89674,1939
24,-0.00035135135135134707,85709,87758,1869
25,-0.0003243243243243217,85309,87276,1624
26,-0.0002972972972972929,85573,87974,1629
27,-0.0002702702702702675,85809,88008,1462
28,-0.00024324324324323868,85574,87235,1364
29,-0.00021621621621621331,85530,87535,1285
30,-0.00018918918918918448,85230,87145,1136
31,-0.00016216216216215912,85394,87771,1014
32,-0.00013513513513513029,85381,87580,968
33,-0.00010810810810810492,85613,87628,910
34,-8.108108108107609e-05,85573,87695,684
35,-5.4054054054050726e-05,85519,87449,586
36,-2.7027027027021894e-05,86274,93758,447
37,3.469446951953614e-18,84753,87275,339
38,2.7027027027028833e-05,85538,88351,217
39,5.4054054054057665e-05,86914,90039,186
40,8.108108108108303e-05,85697,87768,183
41,0.00010810810810811186,84857,87118,292
42,0.00013513513513513722,85597,87331,407
43,0.00016216216216216606,84980,87997,487
44,0.00018918918918919142,85470,87917,629
45,0.00021621621621622025,85286,87819,740
46,0.00024324324324324562,85450,87784,941
47,0.00027027027027027445,85558,87693,1002
48,0.0002972972972972998,85590,88024,1214
49,0.00032432432432432864,85272,87943,1290
50,0.000351351351351354,86058,88646,1484
51,0.00037837837837838284,85925,88399,1501
52,0.0004054054054054082,86155,88624,1553
53,0.00043243243243243704,86137,88299,1712
54,0.0004594594594594624,85593,87906,1727
55,0.00048648648648649123,85693,89005,1877
56,0.0005135135135135166,86362,88763,1960
57,0.0005405405405405454,86279,88960,2072
58,0.0005675675675675708,86069,88493,2140
59,0.0005945945945945996,86229,89605,2378
60,0.000621621621621625,86503,89166,2348
61,0.0006486486486486538,86066,89110,2319
62,0.0006756756756756792,86385,88991,2297
63,0.000702702702702708,86204,89597,2302
64,0.0007297297297297334,86349,88691,2199
65,0.0007567567567567622,86613,88804,2248
66,0.0007837837837837876,85808,89198,2300
67,0.0008108108108108164,86270,89612,2346
68,0.0008378378378378418,86167,89222,2343
69,0.0008648648648648706,86437,89356,2427
70,0.000891891891891896,86006,89419,2274
71,0.0009189189189189213,86136,89414,2318
72,0.0009459459459459502,86594,89736,2280
73,0.000972972972972979,86268,88987,2312
74,0.0010000000000000044,87500,91664,2421
