,position,A channel counts,B channel counts,coincidence counts
0,-0.006500000000000001,59884,54204,12126.377023832
1,-0.006157894736842105,60147,54544,12188.359671016
2,-0.005815789473684212,60397,54557,12016.3524604355
3,-0.005473684210526316,60195,54568,12090.35763962
4,-0.005131578947368421,60041,54469,12265.3648133855
5,-0.0047894736842105275,60024,54195,12110.37349966
6,-0.004447368421052632,60368,54468,12001.355937888
7,-0.004105263157894737,60539,54598,12162.347345839
8,-0.0037631578947368433,59855,54706,12070.362786185
9,-0.003421052631578948,60136,54584,12214.358768288
10,-0.0030789473684210526,59931,54289,12056.3732029705
11,-0.002736842105263159,60250,54153,12051.368640875
12,-0.0023947368421052637,59776,54504,12043.370984448
13,-0.0020526315789473684,59485,54118,11969.390395385
14,-0.0017105263157894748,59704,54029,11858.387126292
15,-0.0013684210526315795,59592,53929,11927.393131516
16,-0.0010263157894736842,59825,54288,12018.3761102
17,-0.0006842105263157906,59757,53602,11810.398452643
18,-0.0003421052631578936,59963,54729,11988.3591424865
19,0.0,60372,55038,12183.338622932
20,0.0003421052631578936,60320,54823,11983.34653832
21,0.0006842105263157872,60795,54681,12341.3378343025
22,0.0010263157894736842,59835,54149,12148.3799972925
23,0.0013684210526315778,59826,54100,12240.3817067
24,0.0017105263157894748,60105,54283,12035.3686601425
25,0.0020526315789473684,60604,54239,12344.356449822
26,0.002394736842105262,59950,54470,12143.36726175
27,0.0027368421052631556,59719,54111,12030.3842725955
28,0.003078947368421049,60887,54869,12391.3295955985
29,0.003421052631578946,59987,53980,11984.38095087
30,0.0037631578947368433,60173,54236,12096.368228586
31,0.004105263157894737,60193,54601,12160.3567010035
32,0.00444736842105263,59989,54244,11968.372978342
33,0.004789473684210524,60291,54374,12239.360868583
34,0.005131578947368418,60310,54605,12158.353386225
35,0.005473684210526315,60289,54680,12067.35169874
36,0.005815789473684212,60341,54476,12008.356431842
37,0.006157894736842105,60000,53903,11969.38291
38,0.006499999999999999,60364,54874,12107.343792932
