,position,A channel counts,B channel counts,coincidence counts
0,-0.0010000000000000009,26760,23852,1271.68086024
1,-0.0008947368421052641,26999,23410,1268.683976705
2,-0.0007894736842105274,26570,23867,1228.682926905
3,-0.0006842105263157906,26542,23635,1213.686339915
4,-0.0005789473684210539,26651,23846,1319.6822401270001
5,-0.0004736842105263171,26748,23703,1242.682996078
6,-0.00036842105263158037,26582,23957,1146.681587513
7,-0.0002631578947368436,26568,23946,977.681901336
8,-0.00015789473684210686,26398,23878,666.684834278
9,-5.263157894737011e-05,26123,23741,541.6899069285
10,5.263157894736664e-05,25977,23580,440.69373117
11,0.0001578947368421034,26077,23620,188.69203063
12,0.00026315789473684015,26119,23856,382.688452568
13,0.0003684210526315769,26649,23960,670.68074498
14,0.00047368421052631365,26602,24132,964.679020268
15,0.0005789473684210504,26602,24474,1170.674471326
16,0.0006842105263157872,26895,24438,1269.671369995
17,0.0007894736842105239,26475,24375,1257.6773359375
18,0.0008947368421052607,26193,24472,1228.679502452
19,0.0009999999999999974,26667,24431,1244.6742492615
