,position,A channel counts,B channel counts,coincidence counts
0,-0.0010000000000000009,9306,9388,384.956317636
1,-0.000941176470588237,9565,9462,387.954747985
2,-0.000882352941176473,9571,9606,381.954030487
3,-0.0008235294117647056,9334,9428,362.955999524
4,-0.0007647058823529417,9441,9550,382.954919225
5,-0.0007058823529411777,9343,9459,386.9558122815
6,-0.0006470588235294138,9408,9281,376.956342176
7,-0.0005882352941176498,9367,9345,401.9562326925
8,-0.0005294117647058824,9338,9398,383.956120738
9,-0.0004705882352941185,9541,9429,371.9550189555
10,-0.00041176470588235453,9418,9627,350.954666457
11,-0.0003529411764705906,9344,9188,344.957073664
12,-0.00029411764705882665,9218,9209,250.957555719
13,-0.00023529411764705924,9242,9270,222.95716333
14,-0.0001764705882352953,9184,9173,205.957877584
15,-0.00011764705882353135,9292,9223,167.957149942
16,-5.882352941176741e-05,9142,9044,105.958659876
17,0.0,9154,9017,90.958729191
18,5.882352941176394e-05,8961,9072,54.959352904
19,0.00011764705882352788,9182,8989,91.958731501
20,0.00017647058823529183,9231,9039,154.9582804955
21,0.00023529411764705577,9296,8908,168.958595616
22,0.0002941176470588197,9236,9173,226.957639086
23,0.0003529411764705871,9110,9148,236.95833086
24,0.00041176470588235106,9341,9160,276.95721822
25,0.000470588235294115,9215,9159,313.9577999075
26,0.0005294117647058789,9440,9137,345.95687336
27,0.0005882352941176464,9474,9045,352.957153835
28,0.0006470588235294103,9439,9227,414.9564531735
29,0.0007058823529411742,9344,9243,376.956816704
30,0.0007647058823529382,9359,9088,384.957472704
31,0.0008235294117647021,9451,9283,380.9561331835
32,0.0008823529411764695,9341,9141,370.9573069595
33,0.0009411764705882335,9402,9317,383.956200783
34,0.0009999999999999974,9309,9084,356.957718522
