,A counts,B counts,Coincidence counts
HH,52607,52330,99
HV,44998,52751,11009
HD,48621,52326,6116
HA,49267,52340,4750
HR,49179,52393,5194
HL,48891,52446,5684
VH,53116,66739,10921
VV,45537,66455,122
VD,48442,66681,4771
VA,49602,66537,6247
VR,49338,66273,5746
VL,49370,66124,5196
DH,52502,59856,5762
DV,44924,60074,5471
DD,48490,59642,10445
DA,49463,60349,546
DR,49032,59250,493
DL,49223,60004,10345
AH,52231,58980,5179
AV,44968,59216,5586
AD,48079,58664,517
AA,48886,59083,10247
AR,49298,59169,10545
AL,48921,59169,536
RH,52295,58089,5038
RV,44953,57945,5691
RD,48239,58086,595
RA,49031,57756,10092
RR,48679,58036,10261
RL,49394,58433,511
LH,52245,58283,5297
LV,44819,58066,5410
LD,48604,58690,10390
LA,48816,58045,542
LR,48327,57877,465
LL,49286,57851,10279
