degree,single count,coincidence count
30,74990.9,16081.9
31,76026.1,16408.5
32,76213.1,16405.5
33,76857.3,16538.1
34,76962.2,16582.0
35,77052.9,16641.6
36,76424.9,16470.6
37,76371.4,16433.0
38,75591.3,16321.0
39,74877.1,16124.6
40,73959.8,15977.1
34.0,76584.5,16526.6
34.1,76644.6,16585.1
34.2,76784.9,16563.8
34.3,76749.9,16566.0
34.4,76807.5,16601.5
34.5,76690.4,16651.1
34.6,76732.9,16551.1
34.7,76787.0,16554.5
34.8,76888.8,16645.0
34.9,76742.3,16708.2
35.0,76772.1,16582.1
35.1,76496.5,16665.8
35.2,76557.4,16598.5
35.3,76557.2,16610.5
35.4,76628.4,16666.9
35.5,76592.4,16641.4
35.6,76693.2,16637.1
35.7,76421.6,16622.5
35.8,76381.8,16543.7
35.9,76355.9,16585.0
36.0,76240.0,16571.8
