,H,V,D,A,R,L
H,49.7901572,19480.46223,9159.586725,11218.13479,10240.0575,8986.997318
V,20445.8013,39.45275424,10922.47782,9133.55842,10871.86515,10083.81713
D,10416.02699,10025.93909,10415.23861,10338.27599,19971.88883,179.5523062
A,9540.886821,10285.39548,9405.019891,10257.89438,186.0043766,20110.31722
R,7300.348555,13953.91796,527.5503385,20202.00466,10800.81167,9486.348076
L,14423.62819,5903.148287,19374.97333,593.7454388,9822.058294,9902.50034
