,A counts,B counts,Coincidence counts
HH,74461,42046,205
HV,34188,42253,7536
HD,53221,42262,4496
HA,56315,42115,3199
HR,55284,42104,3566
HL,55252,42089,4171
VH,75037,97474,16612
VV,34161,97886,148
VD,53049,98044,7194
VA,55881,98429,9279
VR,55026,97921,8765
VL,55221,98025,8064
DH,74858,72167,8768
DV,34103,71872,3967
DD,52925,71594,11023
DA,56242,72009,1297
DR,54721,72700,1108
DL,55539,72092,11571
AH,74508,68344,8133
AV,34087,69073,3765
AD,53145,68700,719
AA,56479,68981,11225
AR,55115,68725,11018
AL,54669,68494,877
RH,75129,67312,7869
RV,34661,67371,3832
RD,53680,68001,722
RA,56663,66867,11011
RR,54902,67073,10918
RL,54953,66539,792
LH,74118,69119,8115
LV,34704,68976,3893
LD,53625,69207,11038
LA,56414,69484,1190
LR,54655,69580,976
LL,55173,69583,11251
