x,y
399.6594348371055, 8.4609271598095
402.895109598394, 8.93218531883845
406.49322195469693, 9.558612859668301
404.9174063241993, 8.990090385637842
409.8286983725836, 10.063561239380533
413.2954927596784, 10.638157671466871
416.7622871467732, 11.212754103553209
420.0977635646599, 11.793829424232484
423.24939482565514, 12.488690225825266
426.5848712435418, 13.191325693729567
425.1403735822523, 12.571296055385247
429.6183163322497, 13.814027873618485
428.896067501605, 13.105804364302756
432.0161824499903, 14.639843210896046
431.785062824184, 13.934292243124915
434.3273787080535, 15.409535175737275
433.8073595499893, 14.60242762927183
436.1185558080525, 16.081233950610297
437.7941730951483, 16.84736252672542
439.5275702886957, 17.611709408477466
438.1408525338578, 16.07232547879501
441.26096748224313, 18.413471871853744
439.8742497274052, 16.820637111279538
443.05214458224214, 19.12793131144018
441.6076469209526, 17.622399574655816
444.2077427112737, 19.894059887555287
443.3410441145, 18.397436622586227
446.05669971772426, 20.49805427663209
445.36334084030534, 19.288283804115437
447.67453709836855, 21.36395773707848
446.5189389693369, 19.78715822577179
449.4079342919159, 21.966764329913232
447.9634366306264, 20.562195273702187
451.1413314854633, 22.691320037556977
452.8747286790107, 23.50199097274856
454.6081258725581, 24.015712847430393
452.8747286790107, 22.726953924818147
456.2837431596539, 24.822226495774842
458.0749202596529, 25.640024208418644
459.8083174532003, 26.153746083100486
458.0749202596529, 24.86498716048824
461.48393474029615, 26.96025973144493
463.27511184029515, 27.715698141381687
465.00850903384253, 28.39942335320535
463.27511184029515, 26.735766241699565
466.7419062273899, 29.081663819726465
465.8752076306163, 27.991860767655737
467.89750435642156, 29.809189017975314
470.2664805209363, 30.56284573354901
468.4753034209373, 28.87379947736965
470.20870061448477, 29.800280546160018
471.94209780803214, 31.17812418692519
473.6177150951279, 31.98463783526963
475.4088921951269, 32.80243554791343
477.14228938867427, 33.316157422595275
475.4088921951269, 32.02739849998303
478.81790667577013, 34.12267107093972
480.60908377576914, 34.900380660414704
482.3424809693165, 35.54179063111573
480.60908377576914, 34.165431735653115
484.0758781628639, 36.16686840348873
482.3424809693165, 34.86029253724589
485.8092753564114, 36.93151223430129
487.54267254995875, 37.572922205002314
485.8092753564114, 36.250014140431446
489.2760697435061, 38.21433217570334
487.54267254995875, 36.89142411113247
491.0094669370535, 38.81565402323555
489.2760697435061, 37.5328340818335
492.7428641306009, 39.451125012726386
494.47626132414837, 40.08065702100702
496.20965851769574, 40.78665341236891
497.9430557112431, 41.428805755721214
496.20965851769574, 40.098473964637606
497.9430557112431, 40.73988393533863
500.1964720628547, 42.102880123078315
499.6764529047905, 41.327843075147904
501.9876491628537, 42.800710415276185
502.85434775962744, 42.39685969298295
504.2410655144654, 43.48725664317469
505.16554401769065, 43.14517132546748
506.5522617725286, 44.2195330263917
507.47674027575385, 43.89348295795201
508.86871074936005, 44.879893746227076
511.17990700742325, 45.57475454781985
510.6546351305907, 44.855597914003546
513.4911032654865, 46.25503785007851
512.9658313886539, 45.603909546488076
515.8022995235497, 46.95475781811599
515.2770276467171, 46.2453195171891
518.1134957816129, 47.610745288151136
517.5882239047803, 46.940180318781884
520.4246920396761, 48.25215525885216
519.8994201628435, 47.58159028948291
522.7358882977393, 48.908142728887306
522.2106164209067, 48.22300026018394
525.0996117434858, 49.637017695593016
524.8107122112278, 48.944586477222586
527.8441572999358, 50.25413183407051
527.121908469291, 49.55927103247774
530.2472761364447, 50.91497847055036
529.7220042596122, 50.25413183407051
532.5532196757396, 51.64919852034525
532.3221000499333, 50.948992635663295
535.3424133417204, 52.324136739514735
536.3666935015439, 51.964558422606586
538.1788814766161, 53.04329337333103
539.7371880445527, 52.81977171687462
540.9890860176703, 53.701710426588534
543.3965821198194, 54.429235624837375
544.455880404765, 53.99568999649317
546.1892775983125, 55.06470661432821
549.0782729208914, 55.75956741592099
549.3671724531494, 55.17160827611171
552.0985862126786, 56.40583655306672
554.8562635660495, 57.12790868674985
557.7452588886284, 57.79069898980757
560.6342542112075, 58.4534892928653
563.5495131276281, 59.010349767428465
566.065565417656, 59.75768956662405
569.3012401789445, 60.383064288057554
567.856742517655, 59.7683797328024
572.1902355015235, 60.976368510956
575.2105487933106, 61.66345464623725
578.6773431804054, 62.31458294982768
577.1015275499078, 61.692609644905474
581.8815016290839, 62.92197875541578
585.0331328900793, 63.51479706166975
588.3686093079659, 64.09789703503432
591.8354036950607, 64.67249346712066
595.3021980821555, 65.21145601194583
598.7689924692503, 65.72369314132513
602.235786856345, 66.1869336757203
605.7025812434399, 66.63681150239256
609.1693756305347, 67.06441814952657
612.6361700176295, 67.47866208893765
616.1029644047243, 67.86172637699521
619.5697587918191, 68.17352289053042
623.0365531789139, 68.46304822452743
626.5033475660088, 68.68576001990972
629.9701419531035, 68.86392945621556
633.4369363401983, 68.99755653344494
636.9037307272931, 69.11782090295138
640.3705251143879, 69.20245138519665
643.8373195014827, 69.28262763153428
647.3041138885775, 69.33607846242603
650.7709082756724, 69.34944117014898
654.2377026627671, 69.44298012420954
657.704497049862, 69.44298012420954
661.1712914369567, 69.36280387787191
664.6380858240515, 69.34053269833367
668.1048802111463, 69.33607846242603
671.5716745982411, 69.30935304698016
675.038468985336, 69.25144798018076
678.5052633724307, 69.2158140929196
681.9720577595256, 69.1490005543049
685.4388521466203, 69.10891243113609
688.9056465337152, 69.03764465661376
692.3724409208099, 68.98864806162965
695.8392353079048, 68.9173802871073
699.3060296949996, 68.82829556895439
702.7728240820943, 68.74811932261676
706.2396184691892, 68.67239731218677
709.7064128562839, 68.58331259403386
713.1732072433788, 68.47641093225036
