,position
0,0.021800139925373135
1,0.02180031483208955
2,0.021799527751865673
3,0.021796933302238804
4,0.021792706389925372
5,0.021787109375
6,0.021779734141791046
7,0.02177081389925373
8,0.021760406949626866
9,0.021748396688432835
10,0.021734608208955224
11,0.021719624533582088
12,0.021703154151119404
13,0.021684526585820894
14,0.021665111940298507
15,0.02164412313432836
16,0.021623396688432835
17,0.021604127798507462
18,0.021586870335820896
19,0.021571128731343283
20,0.021556815531716417
21,0.02154404734141791
22,0.021532940764925373
23,0.021523116837686568
24,0.02151512943097015
25,0.021508424673507463
26,0.02150352728544776
27,0.02150008745335821
28,0.021498105177238807
29,0.021497609608208956
30,0.021498396688432835
31,0.02150116604477612
32,0.02150507229477612
33,0.0215107567630597
34,0.021518423507462688
35,0.021527402052238805
36,0.021537954757462688
37,0.02154999416977612
38,0.02156387010261194
39,0.021578941231343282
40,0.021595673973880597
41,0.021613776819029852
42,0.021633657882462687
43,0.021655317164179105
44,0.02167569379664179
45,0.021694612873134327
46,0.021712016091417912
47,0.021727611940298507
48,0.021742041744402984
49,0.02175457672574627
50,0.021765887360074627
51,0.021775215718283582
52,0.021783203125
53,0.021789732975746268
54,0.021794688666044774
55,0.021797895289179105
56,0.0217997901119403
57,0.021800169076492536
58,0.021800169076492536
59,0.021800169076492536
60,0.021800169076492536
61,0.02180019822761194
62,0.021801218516791045
63,0.021803754664179106
64,0.021807894123134327
65,0.021813724347014927
66,0.02182101212686567
67,0.021828649720149255
68,0.02183456739738806
69,0.021838998367537315
70,0.021841796875
71,0.021843108675373136
72,0.021843225279850748
73,0.021843254430970148
74,0.021843254430970148
75,0.02184328358208955
76,0.021844274720149253
77,0.021846869169776118
78,0.021851037779850747
79,0.021856722248134328
80,0.021864097481343284
81,0.021871618470149255
82,0.021877594449626867
83,0.02188202541977612
84,0.021884853078358208
85,0.021886164878731344
86,0.021886456389925372
87,0.021886456389925372
88,0.021886456389925372
89,0.021886485541044776
90,0.021887360074626865
91,0.021890071128731342
92,0.021894268889925374
93,0.021900040811567163
94,0.021907182835820896
95,0.021914732975746268
96,0.021920854710820895
97,0.021925227378731343
