,position,coincidence counts
0,-0.0005000000000000004,564
1,-0.000465517241379311,536
2,-0.00043103448275862155,600
3,-0.0003965517241379321,566
4,-0.00036206896551724266,545
5,-0.0003275862068965532,576
6,-0.00029310344827586376,538
7,-0.0002586206896551743,504
8,-0.0002241379310344814,505
9,-0.00018965517241379196,478
10,-0.0001551724137931025,502
11,-0.00012068965517241306,464
12,-8.620689655172362e-05,443
13,-5.172413793103417e-05,412
14,-1.7241379310344723e-05,409
15,1.7241379310344723e-05,448
16,5.172413793103417e-05,408
17,8.620689655172362e-05,398
18,0.00012068965517241306,438
19,0.0001551724137931025,420
20,0.00018965517241379196,464
21,0.0002241379310344814,483
22,0.0002586206896551743,534
23,0.00029310344827586376,524
24,0.0003275862068965532,519
25,0.00036206896551724266,532
26,0.0003965517241379321,550
27,0.00043103448275862155,579
28,0.000465517241379311,543
29,0.0005000000000000004,560
