,position,A channel counts,B channel counts,coincidence counts
0,-0.0010000000000000009,12717,13749,282
1,-0.0009545454545454544,12755,13780,314
2,-0.0009090909090909115,12672,13994,328
3,-0.000863636363636365,12697,13795,287
4,-0.0008181818181818186,12576,13743,269
5,-0.0007727272727272722,12669,13940,338
6,-0.0007272727272727292,12685,13910,335
7,-0.0006818181818181827,12749,13809,317
8,-0.0006363636363636363,12730,13729,334
9,-0.0005909090909090899,12590,13735,316
10,-0.0005454545454545469,12873,13660,297
11,-0.0005000000000000004,12769,13999,319
12,-0.000454545454545454,13035,13737,271
13,-0.00040909090909091103,12769,13847,262
14,-0.0003636363636363646,12609,13724,210
15,-0.00031818181818181815,12635,13977,170
16,-0.0002727272727272717,12570,13790,167
17,-0.00022727272727272874,12530,13604,128
18,-0.0001818181818181823,12834,13616,111
19,-0.00013636363636363585,12678,13496,81
20,-9.090909090908941e-05,12690,13585,66
21,-4.545454545454644e-05,12751,13615,40
22,0.0,12423,13546,34
23,4.545454545454644e-05,12360,13605,61
24,9.090909090908941e-05,12556,13461,89
25,0.00013636363636363585,12420,13598,114
26,0.0001818181818181823,12556,13468,138
27,0.00022727272727272874,12638,13643,187
28,0.0002727272727272717,12468,13625,204
29,0.00031818181818181815,12711,13447,214
30,0.0003636363636363646,12544,13672,207
31,0.00040909090909090756,12572,13322,258
32,0.000454545454545454,12634,13636,278
33,0.0005000000000000004,12575,13542,265
34,0.0005454545454545469,12637,13650,350
35,0.0005909090909090899,12429,13626,319
36,0.0006363636363636363,12586,13733,294
37,0.0006818181818181827,12963,13876,302
38,0.0007272727272727292,13064,14344,288
39,0.0007727272727272722,12827,14530,301
40,0.0008181818181818186,12678,13846,318
41,0.000863636363636365,12814,13554,300
42,0.000909090909090908,12819,13628,296
43,0.0009545454545454544,12649,13825,304
44,0.0010000000000000009,12624,13457,288
