,position,coincidence counts
0,-0.004,471
1,-0.0038987341772151914,475
2,-0.003797468354430379,475
3,-0.0036962025316455704,516
4,-0.0035949367088607583,474
5,-0.0034936708860759495,474
6,-0.003392405063291141,503
7,-0.0032911392405063286,456
8,-0.00318987341772152,456
9,-0.0030886075949367077,449
10,-0.002987341772151899,498
11,-0.0028860759493670902,476
12,-0.002784810126582278,476
13,-0.0026835443037974693,478
14,-0.002582278481012657,499
15,-0.0024810126582278484,499
16,-0.0023797468354430397,475
17,-0.0022784810126582275,470
18,-0.0021772151898734188,518
19,-0.0020759493670886066,518
20,-0.001974683544303798,477
21,-0.0018734177215189891,461
22,-0.001772151898734177,461
23,-0.0016708860759493682,501
24,-0.001569620253164556,505
25,-0.0014683544303797473,505
26,-0.0013670886075949386,517
27,-0.0012658227848101264,559
28,-0.0011645569620253177,528
29,-0.0010632911392405055,528
30,-0.0009620253164556967,522
31,-0.0008607594936708846,549
32,-0.0007594936708860758,549
33,-0.0006582278481012671,562
34,-0.0005569620253164549,508
35,-0.0004556962025316462,511
36,-0.000354430379746834,511
37,-0.0002531645569620253,526
38,-0.00015189873417721309,529
39,-5.063291139240436e-05,529
40,5.063291139240436e-05,527
41,0.00015189873417721655,586
42,0.0002531645569620253,547
43,0.00035443037974683747,547
44,0.0004556962025316462,546
45,0.0005569620253164549,525
46,0.0006582278481012671,525
47,0.0007594936708860758,551
48,0.000860759493670888,534
49,0.0009620253164556967,534
50,0.0010632911392405055,567
51,0.0011645569620253177,532
52,0.0012658227848101264,531
53,0.0013670886075949386,531
54,0.0014683544303797473,564
55,0.001569620253164556,574
56,0.0016708860759493682,574
57,0.001772151898734177,584
58,0.0018734177215189891,598
59,0.001974683544303798,598
60,0.0020759493670886066,551
61,0.0021772151898734188,576
62,0.0022784810126582275,538
63,0.0023797468354430397,538
64,0.0024810126582278484,425
65,0.002582278481012657,293
66,0.0026835443037974693,293
67,0.002784810126582278,458
68,0.0028860759493670902,560
69,0.002987341772151899,555
70,0.0030886075949367077,555
71,0.00318987341772152,528
72,0.0032911392405063286,608
73,0.003392405063291141,608
74,0.0034936708860759495,593
75,0.0035949367088607583,608
76,0.0036962025316455704,622
77,0.003797468354430379,622
78,0.0038987341772151914,628
79,0.004,630
