,position,A channel counts,B channel counts,coincidence counts
0,-0.0008510650000000015,61369,67058,1592
1,-0.0007801429166666672,60474,64844,1654
2,-0.0007092208333333364,59719,63893,1649
3,-0.000638298750000002,60904,69537,1582
4,-0.0005673766666666677,59978,64647,1638
5,-0.0004964545833333334,60162,64083,1517
6,-0.0004255325000000025,60088,64052,1360
7,-0.0003546104166666682,59558,63730,1157
8,-0.00028368833333333385,59775,63739,983
9,-0.000212766250000003,59854,64204,800
10,-0.00014184416666666866,59439,62916,534
11,-7.092208333333433e-05,59901,63468,324
12,-3.469446951953614e-18,59579,63689,152
13,7.092208333333086e-05,59886,63143,250
14,0.0001418441666666652,59687,63474,505
15,0.00021276624999999952,59672,64077,720
16,0.0002836883333333304,60230,63647,951
17,0.0003546104166666647,59943,64191,1114
18,0.00042553249999999904,60130,63452,1219
19,0.0004964545833333299,59986,63956,1449
20,0.0005673766666666642,59975,63765,1610
21,0.0006382987499999986,60415,64118,1598
22,0.0007092208333333329,60502,64278,1541
23,0.0007801429166666637,60286,64108,1594
24,0.0008510649999999981,60360,64197,1646
