,position,A channel counts,B channel counts,coincidence counts
0,-0.0009499999999999995,32547,31865,731
1,-0.0009068181818181822,32298,31966,734
2,-0.0008636363636363616,32624,31730,675
3,-0.0008204545454545444,32532,31535,711
4,-0.0007772727272727271,32451,31366,671
5,-0.0007340909090909099,32131,31654,720
6,-0.0006909090909090893,32388,31433,711
7,-0.000647727272727272,32264,31511,696
8,-0.0006045454545454548,32792,31762,757
9,-0.0005613636363636376,33070,31858,718
10,-0.0005181818181818169,32612,31259,638
11,-0.00047499999999999973,32619,31296,529
12,-0.0004318181818181825,32385,31524,508
13,-0.00038863636363636184,32441,31386,413
14,-0.0003454545454545446,32622,31535,366
15,-0.0003022727272727274,33061,31381,323
16,-0.0002590909090909102,31973,31551,253
17,-0.00021590909090908952,32278,30844,208
18,-0.0001727272727272723,32608,31154,150
19,-0.0001295454545454551,32736,31572,98
20,-8.636363636363789e-05,32443,31399,76
21,-4.318181818181721e-05,32592,31667,99
22,0.0,32599,31613,151
23,4.318181818181721e-05,32466,31715,252
24,8.636363636363789e-05,33018,32552,301
25,0.0001295454545454551,32781,31765,391
26,0.0001727272727272723,32743,31594,392
27,0.00021590909090908952,32835,31753,489
28,0.0002590909090909102,32613,31893,496
29,0.0003022727272727274,32856,31596,541
30,0.0003454545454545446,32964,31459,598
31,0.00038863636363636184,32941,31811,620
32,0.0004318181818181825,32793,32038,701
33,0.00047499999999999973,32711,31953,741
34,0.0005181818181818169,32803,31916,697
35,0.0005613636363636376,32594,31494,758
36,0.0006045454545454548,32772,31414,711
37,0.000647727272727272,32606,32080,824
38,0.0006909090909090893,32827,32022,778
39,0.0007340909090909099,33212,31858,731
40,0.0007772727272727271,33137,31952,726
41,0.0008204545454545444,32888,31840,729
42,0.000863636363636365,33273,32154,747
43,0.0009068181818181822,32939,31605,743
44,0.0009499999999999995,33115,31701,779
