,position,coincidence counts
0,-0.0014999999999999979,473
1,-0.0014962453066332884,462
2,-0.0014924906132665824,504
3,-0.001488735919899873,482
4,-0.0014849812265331636,472
5,-0.0014812265331664576,496
6,-0.0014774718397997481,453
7,-0.0014737171464330387,500
8,-0.0014699624530663292,531
9,-0.0014662077596996233,492
10,-0.0014624530663329138,479
11,-0.0014586983729662044,482
12,-0.0014549436795994984,463
13,-0.001451188986232789,505
14,-0.0014474342928660795,464
15,-0.0014436795994993736,436
16,-0.001439924906132664,497
17,-0.0014361702127659547,494
18,-0.0014324155193992452,425
19,-0.0014286608260325392,476
20,-0.0014249061326658298,473
21,-0.0014211514392991204,463
22,-0.0014173967459324144,521
23,-0.001413642052565705,489
24,-0.0014098873591989955,464
25,-0.0014061326658322895,489
26,-0.00140237797246558,485
27,-0.0013986232790988706,437
28,-0.0013948685857321647,479
29,-0.0013911138923654552,519
30,-0.0013873591989987458,474
31,-0.0013836045056320363,502
32,-0.0013798498122653303,475
33,-0.001376095118898621,498
34,-0.0013723404255319115,504
35,-0.0013685857321652055,494
36,-0.001364831038798496,481
37,-0.0013610763454317866,483
38,-0.0013573216520650806,467
39,-0.0013535669586983712,505
40,-0.0013498122653316617,488
41,-0.0013460575719649558,491
42,-0.0013423028785982463,467
43,-0.0013385481852315369,493
44,-0.0013347934918648274,501
45,-0.0013310387984981215,459
46,-0.001327284105131412,484
47,-0.0013235294117647026,499
48,-0.0013197747183979966,461
49,-0.0013160200250312871,443
50,-0.0013122653316645777,481
51,-0.0013085106382978717,474
52,-0.0013047559449311623,494
53,-0.0013010012515644528,486
54,-0.0012972465581977434,494
55,-0.0012934918648310374,484
56,-0.001289737171464328,497
57,-0.0012859824780976185,465
58,-0.0012822277847309126,472
59,-0.0012784730913642031,472
60,-0.0012747183979974937,513
61,-0.0012709637046307877,497
62,-0.0012672090112640783,512
63,-0.0012634543178973688,493
64,-0.0012596996245306628,521
65,-0.0012559449311639534,472
66,-0.001252190237797244,457
67,-0.0012484355444305345,477
68,-0.0012446808510638285,460
69,-0.001240926157697119,552
