,position,A channel counts,B channel counts,coincidence counts
0,-0.0008500000000000035,88531,94617,2436
1,-0.0007791666666666711,89711,95827,2449
2,-0.0007083333333333386,89034,95520,2485
3,-0.0006375000000000026,89057,95729,2415
4,-0.0005666666666666702,89267,95292,2367
5,-0.0004958333333333377,89508,94864,2410
6,-0.00042500000000000177,89385,94846,1998
7,-0.0003541666666666693,89712,96439,1783
8,-0.0002833333333333368,88932,95284,1448
9,-0.00021250000000000435,88978,95233,1160
10,-0.00014166666666667188,88742,93872,899
11,-7.083333333333594e-05,88863,93747,491
12,-3.469446951953614e-18,88346,93875,206
13,7.0833333333329e-05,88715,94292,348
14,0.00014166666666666494,88769,94645,726
15,0.0002124999999999974,88864,94356,1102
16,0.0002833333333333299,89427,95572,1425
17,0.00035416666666666236,89677,94316,1700
18,0.0004249999999999948,89012,95287,1833
19,0.0004958333333333308,89972,94722,2209
20,0.0005666666666666632,90203,96044,2425
21,0.0006374999999999957,89976,95984,2437
22,0.0007083333333333316,89634,95417,2459
23,0.0007791666666666641,89185,94842,2370
24,0.0008499999999999966,89156,94999,2379
