,position,A channel counts,B channel counts,coincidence counts
0,-0.0009499999999999995,24909,26535,574
1,-0.0008708333333333311,25275,26690,593
2,-0.0007916666666666662,25016,26660,492
3,-0.0007125000000000013,25336,26764,516
4,-0.000633333333333333,25217,26647,475
5,-0.0005541666666666646,25361,26785,391
6,-0.00047499999999999973,24975,27071,322
7,-0.00039583333333333484,25148,26904,216
8,-0.0003166666666666665,25439,26786,192
9,-0.00023749999999999813,24835,26947,77
10,-0.00015833333333333324,25019,26747,87
11,-7.916666666666836e-05,25479,28187,140
12,0.0,24984,27232,268
13,7.916666666666836e-05,25378,27314,343
14,0.00015833333333333324,25165,27700,386
15,0.00023749999999999813,25210,27325,439
16,0.0003166666666666665,25311,27697,537
17,0.00039583333333333484,25268,27704,547
18,0.00047499999999999973,25379,27373,569
19,0.0005541666666666646,25307,27797,541
20,0.000633333333333333,25245,27852,591
21,0.0007125000000000013,24863,27483,582
22,0.0007916666666666662,24763,27423,581
23,0.0008708333333333311,24483,27449,538
24,0.0009499999999999995,24745,27512,574
