,position,A channel counts,B channel counts,coincidence counts
0,-0.0009500000000000029,32513,31360,645
1,-0.000870833333333338,32430,31494,726
2,-0.0007916666666666697,32691,31524,737
3,-0.0007125000000000013,32593,31450,708
4,-0.0006333333333333364,32852,31581,725
5,-0.0005541666666666716,32963,31166,696
6,-0.0004750000000000032,32689,31751,590
7,-0.00039583333333333484,32967,31790,467
8,-0.00031666666666666995,32544,31497,366
9,-0.00023750000000000507,32895,32012,288
10,-0.0001583333333333367,32645,31904,160
11,-7.916666666666836e-05,32830,31574,79
12,-3.469446951953614e-18,32695,31702,126
13,7.916666666666142e-05,32921,31603,231
14,0.00015833333333332977,32936,31677,355
15,0.00023749999999999813,33139,31515,448
16,0.000316666666666663,32443,31841,561
17,0.0003958333333333279,32751,31651,579
18,0.00047499999999999626,32686,31920,764
19,0.0005541666666666646,32348,31831,760
20,0.0006333333333333295,32739,31927,735
21,0.0007124999999999944,32750,31875,720
22,0.0007916666666666627,32924,31871,765
23,0.0008708333333333311,33335,31577,725
24,0.000949999999999996,33000,32305,753
