,position,A channel counts,B channel counts,coincidence counts
0,-0.0007500000000000007,11343,35483,452
1,-0.0006982758620689665,11305,35265,456
2,-0.0006465517241379323,11371,35189,465
3,-0.0005948275862068982,11083,35138,456
4,-0.000543103448275864,11385,35527,459
5,-0.0004913793103448263,11511,35373,405
6,-0.0004396551724137922,11298,35090,415
7,-0.000387931034482758,11259,35419,313
8,-0.00033620689655172384,11533,35149,300
9,-0.00028448275862068967,11315,35145,249
10,-0.0002327586206896555,11484,35169,247
11,-0.00018103448275862133,11229,34782,237
12,-0.00012931034482758716,11298,34948,194
13,-7.758620689655299e-05,11346,34866,173
14,-2.586206896551882e-05,11212,34626,116
15,2.586206896551882e-05,11287,34704,89
16,7.758620689655299e-05,11351,34958,141
17,0.00012931034482758716,11264,34850,168
18,0.00018103448275862133,11306,34773,232
19,0.0002327586206896555,11232,35502,240
20,0.00028448275862068967,11096,35221,268
21,0.00033620689655172384,11334,35299,284
22,0.000387931034482758,11259,35412,342
23,0.0004396551724137922,11504,35366,410
24,0.0004913793103448263,11146,35011,429
25,0.000543103448275864,11321,35752,470
26,0.0005948275862068982,11136,35617,427
27,0.0006465517241379323,11447,35505,435
28,0.0006982758620689665,11453,35423,510
29,0.0007500000000000007,11187,35610,439
