,position,coincidence counts
0,-0.0015000000000000048,2634
1,-0.0013965517241379365,2677
2,-0.0012931034482758681,2699
3,-0.0011896551724137963,2705
4,-0.001086206896551728,2746
5,-0.0009827586206896596,2704
6,-0.0008793103448275913,2714
7,-0.000775862068965523,2729
8,-0.0006724137931034546,2769
9,-0.0005689655172413828,2789
10,-0.00046551724137931447,2795
11,-0.00036206896551724613,2785
12,-0.0002586206896551778,2757
13,-0.00015517241379310945,2685
14,-5.172413793104111e-05,2607
15,5.17241379310307e-05,2405
16,0.00015517241379309904,2237
17,0.0002586206896551674,2111
18,0.0003620689655172357,2255
19,0.00046551724137930406,2491
20,0.0005689655172413724,2640
21,0.0006724137931034442,2766
22,0.0007758620689655125,2744
23,0.0008793103448275809,2647
24,0.0009827586206896492,2714
25,0.0010862068965517176,2815
26,0.0011896551724137894,2884
27,0.0012931034482758577,2994
28,0.001396551724137926,3047
29,0.0014999999999999944,3019
